Year,Category,Prize,Motivation,Prize Share,Laureate ID,Laureate Type,Full Name,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country,Birth Year,Awarded Age,Age Group
1901,Chemistry,The Nobel Prize in Chemistry 1901,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,01-Jan,160,Individual,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,Netherlands,Male,Berlin University,Berlin,Germany,01/03/1911,Berlin,Germany,1852,49,40-50
1901,Literature,The Nobel Prize in Literature 1901,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",01-Jan,569,Individual,Sully Prudhomme,1839-03-16,Paris,France,Male,,,,07/09/1907,Ch??tenay,France,1839,62,60-70
1901,Medicine,The Nobel Prize in Physiology or Medicine 1901,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",01-Jan,293,Individual,Emil Adolf von Behring,1854-03-15,Hansdorf (Lawice),Prussia (Poland),Male,Marburg University,Marburg,Germany,31/03/1917,Marburg,Germany,1854,47,40-50
1901,Peace,The Nobel Peace Prize 1901,,01-Feb,462,Individual,Jean Henry Dunant,1828-05-08,Geneva,Switzerland,Male,,,,30/10/1910,Heiden,Switzerland,1828,73,70+
1901,Peace,The Nobel Peace Prize 1901,,01-Feb,463,Individual,Fr??d??ric Passy,1822-05-20,Paris,France,Male,,,,12/06/1912,Paris,France,1822,79,70+
1901,Physics,The Nobel Prize in Physics 1901,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,01-Jan,1,Individual,Wilhelm Conrad R??ntgen,1845-03-27,Lennep (Remscheid),Prussia (Germany),Male,Munich University,Munich,Germany,10/02/1923,Munich,Germany,1845,56,50-60
1902,Chemistry,The Nobel Prize in Chemistry 1902,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,01-Jan,161,Individual,Hermann Emil Fischer,1852-10-09,Euskirchen,Prussia (Germany),Male,Berlin University,Berlin,Germany,15/07/1919,Berlin,Germany,1852,50,50-60
1902,Literature,The Nobel Prize in Literature 1902,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",01-Jan,571,Individual,Christian Matthias Theodor Mommsen,1817-11-30,Garding,Schleswig (Germany),Male,,,,01/11/1903,Charlottenburg,Germany,1817,85,70+
1902,Medicine,The Nobel Prize in Physiology or Medicine 1902,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",01-Jan,294,Individual,Ronald Ross,1857-05-13,Almora,India,Male,University College,Liverpool,United Kingdom,16/09/1932,Putney Heath,United Kingdom,1857,45,40-50
1902,Peace,The Nobel Peace Prize 1902,,01-Feb,464,Individual,??lie Ducommun,1833-02-19,Geneva,Switzerland,Male,,,,07/12/1906,Bern,Switzerland,1833,69,60-70
1902,Peace,The Nobel Peace Prize 1902,,01-Feb,465,Individual,Charles Albert Gobat,1843-05-21,Tramelan,Switzerland,Male,,,,16/03/1914,Bern,Switzerland,1843,59,50-60
1902,Physics,The Nobel Prize in Physics 1902,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,01-Feb,2,Individual,Hendrik Antoon Lorentz,1853-07-18,Arnhem,Netherlands,Male,Leiden University,Leiden,Netherlands,04/02/1928,,Netherlands,1853,49,40-50
