id,name,population
ARG,Argentina,5
AUS,Australia,2
AUT,Austria,6
BRB,Barbados,1
BEL,Belgium,9
CAN,Canada,6
CHL,Chile,1
CZE,Czech Republic,2
DNK,Denmark,9
EGY,Egypt,2
FIN,Finland,2
FRA,France,52
GAB,Gabon,1
DEU,Germany,63
GRC,Greece,2
HUN,Hungary,1
ISL,Iceland,1
IND,India,3
IRL,Ireland,3
ISR,Israel,4
ITA,Italy,14
JAM,Jamaica,1
JPN,Japan,7
KEN,Kenya,1
MEX,Mexico,3
NLD,Netherlands,9
IRL,Northern Ireland,1
NOR,Norway,8
PHL,Philippines,1
POL,Poland,5
PRT,Portugal,2
PRI,Puerto Rico,1
ROU,Romania,1
RUS,Russia,16
SRB,Serbia,1
ZAF,South Africa,3
ESP,Spain,10
SWE,Sweden,28
CHE,Switzerland,26
TUN,Tunisia,1
GBR,United Kingdom,79
USA,United States of America,210
VNM,Vietnam,1
ZMB,Zambia,1
